id,customer_id,billing_address_id,channel_id,store_id,method,status_payment,amount,paid_at_date_id,paid_at_time,transaction_ref
1,356,1914,1,,CARD,PAID,63636.0,697,00:50:47,TX-1HW3GM7Q6LFJ
2,601,2807,1,,GATEWAY,PENDING,78146.4,,,
3,1234,130,1,,CARD,PAID,32064.6,790,07:39:44,TX-8PBOWVHD7B4I
4,156,2669,1,,CARD,PAID,30855.0,792,15:35:36,TX-SQ97NPWQ6YK8
5,616,297,2,4,CARD,PAID,53451.75,457,01:46:36,TX-F7761XS1CXDC
6,614,727,2,2,CASH,PAID,29040.0,438,14:54:35,TX-RNWJHS1F8G0Y
7,188,436,1,,CARD,REFUNDED,18442.5,929,12:55:56,TX-X2AJGZ36N3FR
8,17,,1,,CARD,PAID,17535.0,684,13:15:00,TX-ZRHVYPGQTDRK
9,1148,1022,1,,CARD,PAID,109011.0,603,23:29:28,TX-CHL80ZD8IP5O
10,1037,101,1,,GATEWAY,PAID,16718.25,456,18:34:46,TX-J2VP8C6ROCZQ
11,1336,,2,1,TRANSFER,REFUNDED,17787.0,439,03:19:39,TX-1UN1COQAVK65
12,1239,1163,2,4,CASH,PAID,41309.4,899,07:46:29,TX-U5CXUHGK42O6
13,1426,2393,2,3,CARD,PAID,42688.8,590,06:38:29,TX-GS664FN80M9E
14,862,346,2,1,CASH,PAID,123283.88,813,14:26:14,TX-BZOPSO6JPRZD
15,181,1242,1,,CARD,PAID,15129.6,963,03:46:12,TX-AD0J2NGELHNC
16,700,2272,1,,CARD,FAILED,29659.2,,,
17,475,589,1,,GATEWAY,PAID,28642.8,972,20:46:32,TX-Y2BIADVO9F18
18,753,2056,2,2,CARD,PAID,80912.7,782,01:36:04,TX-O7MTCOYJ61AJ
19,1151,1716,1,,GATEWAY,FAILED,100107.9,,,
20,793,1527,1,,CARD,PAID,46023.24,844,12:12:18,TX-EMS8E80975XQ
21,866,2937,1,,CARD,PAID,59895.0,492,15:36:24,TX-EZKXQ80I4527
22,1110,2250,1,,CARD,PAID,29659.2,999,01:05:51,TX-BE5NW8R3MU50
23,854,1466,2,1,TRANSFER,REFUNDED,29040.0,458,19:16:34,TX-I1Q2G15R83Y7
24,379,2102,2,3,CASH,PAID,82764.0,920,19:42:57,TX-3TFFR8COO0FP
25,441,532,2,2,CARD,PAID,14229.6,793,09:57:05,TX-91AAY0A1V9Q3
26,125,1985,1,,CARD,PAID,86005.88,970,17:57:45,TX-SVYYRKPOYWM4
27,1201,3168,1,,CARD,PAID,17535.0,715,07:59:48,TX-9O9IH4O8JG78
28,1055,2325,1,,CARD,PAID,28488.0,702,05:44:59,TX-C245O7O7GRI9
29,382,342,1,,CARD,PAID,14520.0,504,09:11:07,TX-J6HQJG5HEW5S
30,1456,414,1,,CARD,PAID,79235.4,988,21:43:49,TX-DRZ2QYPBHF3H
