id,customer_id,channel_id,store_id,order_date_id,order_time,billing_address_id,shipping_address_id,status_order,currency_code,subtotal,tax_amount,shipping_fee,total_amount
1,356,1,,696,07:50:47,1914,599,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0
2,601,1,,396,01:00:04,2807,2538,CREATED,ARS,63840.0,13406.4,900.0,78146.4
3,1234,1,,788,19:39:44,130,3067,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6
4,156,1,,791,17:35:36,2669,511,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0
5,616,2,4,455,02:46:36,297,4,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75
6,614,2,2,437,20:54:35,727,2,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0
7,188,1,,927,22:55:56,436,1152,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5
8,17,1,,681,20:15:00,,2581,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
9,1148,1,,603,03:29:28,1022,494,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0
10,1037,1,,455,10:34:46,101,978,PAID,ARS,12825.0,2693.25,1200.0,16718.25
11,1336,2,1,438,02:19:39,,1,REFUNDED,ARS,14700.0,3087.0,0.0,17787.0
12,1239,2,4,899,03:46:29,1163,4,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4
13,1426,2,3,587,14:38:29,2393,3,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
14,862,2,1,813,11:26:14,346,1,PAID,ARS,101887.5,21396.38,0.0,123283.88
15,181,1,,961,12:46:12,1242,2921,PAID,ARS,11760.0,2469.6,900.0,15129.6
16,700,1,,624,12:43:40,2272,807,CANCELLED,ARS,23520.0,4939.2,1200.0,29659.2
17,475,1,,970,22:46:32,589,2562,FULFILLED,ARS,22680.0,4762.8,1200.0,28642.8
18,753,2,2,781,14:36:04,2056,2,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7
19,1151,1,,561,15:20:18,1716,1695,CANCELLED,ARS,81990.0,17217.9,900.0,100107.9
20,793,1,,842,04:12:18,1527,2616,FULFILLED,ARS,37044.0,7779.24,1200.0,46023.24
21,866,1,,492,01:36:24,2937,2378,FULFILLED,ARS,49500.0,10395.0,0.0,59895.0
22,1110,1,,997,22:05:51,2250,1549,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
23,854,2,1,456,02:16:34,1466,1,REFUNDED,ARS,24000.0,5040.0,0.0,29040.0
24,379,2,3,917,19:42:57,2102,3,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0
25,441,2,2,792,15:57:05,532,2,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
26,125,1,,969,06:57:45,1985,516,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88
27,1201,1,,712,23:59:48,3168,301,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
28,1055,1,,702,01:44:59,2325,1862,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0
29,382,1,,503,06:11:07,342,1423,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0
30,1456,1,,988,02:43:49,414,1425,FULFILLED,ARS,64740.0,13595.4,900.0,79235.4
31,1377,2,4,891,19:02:55,2585,4,PAID,ARS,34200.0,7182.0,0.0,41382.0
32,1375,2,4,861,11:15:07,928,4,PAID,ARS,23520.0,4939.2,0.0,28459.2
33,821,1,,805,14:37:22,2185,924,FULFILLED,ARS,27000.0,5670.0,1200.0,33870.0
34,1475,2,4,525,03:23:04,2316,4,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
35,634,2,2,687,01:24:31,1160,2,FULFILLED,ARS,85387.5,17931.38,0.0,103318.88
36,585,2,1,377,05:54:27,2440,1,FULFILLED,ARS,21600.0,4536.0,0.0,26136.0
37,180,1,,633,18:59:17,3142,1863,FULFILLED,ARS,49800.0,10458.0,900.0,61158.0
38,482,1,,391,00:07:55,1548,2325,FULFILLED,ARS,24696.0,5186.16,1200.0,31082.16
39,620,2,1,398,22:29:21,307,1,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
40,603,2,1,509,04:42:33,3134,1,FULFILLED,ARS,59160.0,12423.6,0.0,71583.6
41,1028,1,,429,06:58:13,2288,1149,CANCELLED,ARS,11400.0,2394.0,1200.0,14994.0
42,1005,2,3,379,09:59:03,,3,FULFILLED,ARS,24510.0,5147.1,0.0,29657.1
43,790,1,,636,21:17:36,742,33,FULFILLED,ARS,10260.0,2154.6,1500.0,13914.6
44,665,1,,507,10:46:11,2230,2043,PAID,ARS,39600.0,8316.0,900.0,48816.0
45,562,1,,976,12:32:15,,1135,FULFILLED,ARS,73500.0,15435.0,1500.0,90435.0
46,998,1,,397,13:14:28,2030,1984,FULFILLED,ARS,36000.0,7560.0,900.0,44460.0
47,276,1,,377,03:01:18,,493,FULFILLED,ARS,33000.0,6930.0,0.0,39930.0
48,1469,2,2,433,08:53:37,,2,FULFILLED,ARS,10800.0,2268.0,0.0,13068.0
49,408,2,2,622,16:10:57,2369,2,CREATED,ARS,23520.0,4939.2,0.0,28459.2
50,1360,2,2,589,19:35:54,178,2,FULFILLED,ARS,40500.0,8505.0,0.0,49005.0
51,1423,1,,572,00:25:00,1107,665,FULFILLED,ARS,28500.0,5985.0,1200.0,35685.0
52,741,1,,624,06:10:33,1344,1867,FULFILLED,ARS,30870.0,6482.7,900.0,38252.7
53,969,1,,674,03:12:44,,1612,FULFILLED,ARS,70560.0,14817.6,0.0,85377.6
54,729,1,,588,06:19:56,2599,458,CANCELLED,ARS,27000.0,5670.0,900.0,33570.0
55,251,2,4,441,02:19:59,2469,4,PAID,ARS,12348.0,2593.08,0.0,14941.08
56,1087,2,1,935,20:26:45,2309,1,PAID,ARS,42750.0,8977.5,0.0,51727.5
57,659,1,,833,15:37:15,2450,1891,FULFILLED,ARS,71025.0,14915.25,1200.0,87140.25
58,338,2,4,783,05:51:12,630,4,FULFILLED,ARS,28425.0,5969.25,0.0,34394.25
59,1068,1,,630,03:01:24,3,2075,CANCELLED,ARS,43350.0,9103.5,1500.0,53953.5
60,958,1,,548,13:26:37,1977,2539,FULFILLED,ARS,64200.0,13482.0,0.0,77682.0
61,428,2,4,421,20:21:42,337,4,CANCELLED,ARS,29160.0,6123.6,0.0,35283.6
62,1337,1,,791,10:20:56,298,88,FULFILLED,ARS,12000.0,2520.0,1200.0,15720.0
63,1442,2,3,723,12:02:28,696,3,FULFILLED,ARS,45000.0,9450.0,0.0,54450.0
64,939,1,,516,10:17:58,3172,410,FULFILLED,ARS,37044.0,7779.24,1500.0,46323.24
65,1409,1,,794,14:45:27,3175,311,FULFILLED,ARS,14850.0,3118.5,1200.0,19168.5
66,1062,1,,626,00:43:41,2637,1403,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
67,988,1,,391,06:33:17,1191,138,CANCELLED,ARS,35280.0,7408.8,1200.0,43888.8
68,778,1,,832,16:23:15,1602,1252,REFUNDED,ARS,14700.0,3087.0,900.0,18687.0
69,77,1,,701,10:53:38,1747,624,PAID,ARS,84435.0,17731.35,0.0,102166.35
70,700,1,,529,09:38:45,1472,480,FULFILLED,ARS,44100.0,9261.0,0.0,53361.0
71,425,1,,937,23:51:05,2747,432,PAID,ARS,12000.0,2520.0,900.0,15420.0
72,1271,2,3,569,18:00:06,1522,3,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
73,1129,1,,398,08:20:17,2125,2540,PAID,ARS,12825.0,2693.25,1500.0,17018.25
74,1224,1,,707,21:18:19,485,1123,PAID,ARS,15435.0,3241.35,900.0,19576.35
75,446,1,,714,04:41:02,3072,2068,FULFILLED,ARS,56340.0,11831.4,900.0,69071.4
76,867,1,,812,18:16:20,1944,2685,FULFILLED,ARS,29400.0,6174.0,900.0,36474.0
77,127,1,,426,10:21:11,423,3189,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
78,874,2,1,704,22:39:17,208,1,PAID,ARS,23520.0,4939.2,0.0,28459.2
79,814,1,,740,21:43:22,374,2367,FULFILLED,ARS,40650.0,8536.5,0.0,49186.5
80,1189,1,,990,02:56:19,2306,840,PAID,ARS,32400.0,6804.0,1200.0,40404.0
81,584,1,,681,06:28:22,2170,69,FULFILLED,ARS,14700.0,3087.0,900.0,18687.0
82,1433,1,,764,01:45:35,2160,953,FULFILLED,ARS,52800.0,11088.0,900.0,64788.0
83,670,1,,995,10:27:35,2091,3103,FULFILLED,ARS,34200.0,7182.0,1200.0,42582.0
84,464,1,,406,17:47:09,2869,842,REFUNDED,ARS,38100.0,8001.0,1200.0,47301.0
85,535,1,,695,14:26:24,,153,PAID,ARS,15000.0,3150.0,900.0,19050.0
86,655,1,,791,02:58:24,2539,2185,FULFILLED,ARS,12348.0,2593.08,1500.0,16441.08
87,833,1,,961,10:52:28,855,2251,FULFILLED,ARS,10800.0,2268.0,1200.0,14268.0
88,490,1,,713,04:53:42,1319,1449,CANCELLED,ARS,11400.0,2394.0,1200.0,14994.0
89,360,1,,399,13:58:21,104,1460,FULFILLED,ARS,56400.0,11844.0,900.0,69144.0
90,1227,1,,900,12:09:30,2146,1176,FULFILLED,ARS,14250.0,2992.5,1200.0,18442.5
91,624,1,,392,19:31:23,2890,38,FULFILLED,ARS,36825.0,7733.25,900.0,45458.25
92,228,1,,413,18:12:47,1743,2302,FULFILLED,ARS,91192.5,19150.42,0.0,110342.92
93,770,1,,530,13:46:23,530,776,FULFILLED,ARS,30000.0,6300.0,900.0,37200.0
94,54,2,2,684,23:26:31,2329,2,FULFILLED,ARS,84675.0,17781.75,0.0,102456.75
95,1006,2,4,727,03:05:36,2237,4,PAID,ARS,74700.0,15687.0,0.0,90387.0
96,247,1,,999,18:29:43,1236,1295,FULFILLED,ARS,48510.0,10187.1,1200.0,59897.1
97,1127,2,3,874,10:43:41,1319,3,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
98,757,2,2,529,17:56:54,2453,2,FULFILLED,ARS,15435.0,3241.35,0.0,18676.35
99,520,1,,747,08:09:07,3135,2447,FULFILLED,ARS,35910.0,7541.1,900.0,44351.1
100,258,1,,423,14:31:08,1515,228,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0
101,467,1,,577,11:35:40,1636,1889,CANCELLED,ARS,23148.0,4861.08,900.0,28909.08
102,3,1,,455,02:45:40,2640,223,PAID,ARS,36000.0,7560.0,900.0,44460.0
103,334,1,,689,07:00:43,2620,2867,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
104,802,2,3,450,03:53:52,553,3,CREATED,ARS,30780.0,6463.8,0.0,37243.8
105,999,1,,448,20:55:17,255,3052,REFUNDED,ARS,30000.0,6300.0,1200.0,37500.0
106,176,1,,498,04:27:32,462,2444,FULFILLED,ARS,21600.0,4536.0,1200.0,27336.0
107,801,1,,770,08:09:53,607,2960,FULFILLED,ARS,15000.0,3150.0,900.0,19050.0
108,1113,1,,508,03:56:26,751,1947,FULFILLED,ARS,34020.0,7144.2,900.0,42064.2
109,810,2,4,916,04:11:46,,4,FULFILLED,ARS,46305.0,9724.05,0.0,56029.05
110,581,2,4,478,08:18:05,704,4,FULFILLED,ARS,33000.0,6930.0,0.0,39930.0
111,1284,2,2,886,21:13:13,3026,2,CANCELLED,ARS,68070.0,14294.7,0.0,82364.7
112,1333,1,,720,15:47:41,2902,1880,FULFILLED,ARS,15435.0,3241.35,1200.0,19876.35
113,24,2,2,790,17:43:31,806,2,PAID,ARS,76770.0,16121.7,0.0,92891.7
114,1222,2,1,386,02:59:29,1895,1,CANCELLED,ARS,12936.0,2716.56,0.0,15652.56
115,63,2,1,626,08:06:28,2180,1,PAID,ARS,9720.0,2041.2,0.0,11761.2
116,1078,1,,415,00:47:44,2864,3,REFUNDED,ARS,21600.0,4536.0,1500.0,27636.0
117,1091,1,,548,10:24:47,2787,2613,FULFILLED,ARS,39600.0,8316.0,1200.0,49116.0
118,524,1,,750,22:11:52,3173,1258,FULFILLED,ARS,24000.0,5040.0,1200.0,30240.0
119,1229,1,,959,15:04:32,1458,2394,FULFILLED,ARS,38808.0,8149.68,900.0,47857.68
120,458,2,4,928,11:54:38,2845,4,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
121,68,1,,474,21:41:14,1466,1657,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
122,959,2,4,720,05:03:44,2706,4,FULFILLED,ARS,37620.0,7900.2,0.0,45520.2
123,356,2,1,973,14:57:49,3167,1,FULFILLED,ARS,36000.0,7560.0,0.0,43560.0
124,530,1,,906,08:51:53,1284,5,CANCELLED,ARS,14700.0,3087.0,1200.0,18987.0
125,1420,1,,402,12:15:32,1268,3008,FULFILLED,ARS,54684.0,11483.64,1200.0,67367.64
126,279,2,3,556,08:16:06,954,3,FULFILLED,ARS,51300.0,10773.0,0.0,62073.0
127,779,2,3,529,02:24:10,206,3,FULFILLED,ARS,15000.0,3150.0,0.0,18150.0
128,1383,1,,424,13:19:21,3141,2117,FULFILLED,ARS,56850.0,11938.5,1200.0,69988.5
129,1189,1,,841,09:16:05,885,1356,CANCELLED,ARS,82620.0,17350.2,1500.0,101470.2
130,1016,1,,991,22:24:46,1995,3040,FULFILLED,ARS,62280.0,13078.8,1500.0,76858.8
131,595,2,3,872,02:27:57,164,3,PAID,ARS,12150.0,2551.5,0.0,14701.5
132,902,2,4,390,03:24:41,2020,4,FULFILLED,ARS,39600.0,8316.0,0.0,47916.0
133,317,1,,573,17:23:51,2601,2546,FULFILLED,ARS,26460.0,5556.6,1200.0,33216.6
134,1229,2,2,531,15:46:34,,2,FULFILLED,ARS,15000.0,3150.0,0.0,18150.0
135,279,2,3,371,02:05:46,63,3,FULFILLED,ARS,62280.0,13078.8,0.0,75358.8
136,1498,2,4,516,07:35:31,2609,4,PAID,ARS,33000.0,6930.0,0.0,39930.0
137,140,1,,751,19:30:04,2026,1773,FULFILLED,ARS,28500.0,5985.0,0.0,34485.0
138,1115,1,,685,23:46:06,462,2545,PAID,ARS,11760.0,2469.6,0.0,14229.6
139,1240,1,,368,08:23:39,1477,1704,PAID,ARS,34200.0,7182.0,1500.0,42882.0
140,590,1,,462,23:11:09,1328,1036,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
141,645,2,3,779,21:56:48,1878,3,FULFILLED,ARS,13230.0,2778.3,0.0,16008.3
142,545,2,1,700,21:24:24,2477,1,REFUNDED,ARS,11880.0,2494.8,0.0,14374.8
143,1208,1,,907,13:32:09,3064,1955,REFUNDED,ARS,50706.0,10648.26,1500.0,62854.26
144,551,2,1,523,00:59:40,1113,1,FULFILLED,ARS,66600.0,13986.0,0.0,80586.0
145,569,2,1,405,12:30:14,214,1,CANCELLED,ARS,29700.0,6237.0,0.0,35937.0
146,1305,1,,931,14:47:44,,3178,FULFILLED,ARS,30000.0,6300.0,1500.0,37800.0
147,280,1,,491,01:52:36,194,2731,FULFILLED,ARS,82687.5,17364.38,900.0,100951.88
148,1338,1,,707,21:23:08,,1472,FULFILLED,ARS,59340.0,12461.4,900.0,72701.4
149,84,1,,903,18:11:01,592,2447,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
150,655,1,,752,22:14:19,81,1117,FULFILLED,ARS,13500.0,2835.0,900.0,17235.0
151,513,2,4,881,23:20:50,3049,4,FULFILLED,ARS,32340.0,6791.4,0.0,39131.4
152,884,2,3,472,17:06:04,849,3,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
153,385,2,2,373,00:18:03,1553,2,FULFILLED,ARS,9720.0,2041.2,0.0,11761.2
154,723,2,2,892,16:56:57,752,2,CANCELLED,ARS,10800.0,2268.0,0.0,13068.0
155,110,2,1,548,13:02:42,2113,1,PAID,ARS,42525.0,8930.25,0.0,51455.25
156,1197,1,,408,00:38:46,2708,3125,FULFILLED,ARS,12000.0,2520.0,900.0,15420.0
157,833,2,2,668,15:18:07,1194,2,FULFILLED,ARS,42750.0,8977.5,0.0,51727.5
158,371,2,3,757,15:50:11,1185,3,CANCELLED,ARS,59250.0,12442.5,0.0,71692.5
