id,order_id,customer_id,shipping_address_id,shipping_address_id,carrier,shipped_at_date_id,shipped_at_time,delivered_at_date_id,delivered_at_time,tracking_number
1,1000000000,356,1595,599,Correo Argentino,697,07:50:47,700,07:50:47,TRK-LM6S0ZIUQ6
2,1000000001,601,3534,2538,Correo Argentino,397,01:00:04,401,01:00:04,TRK-S7JYRIGG48
3,1000000002,1234,4063,3067,Correo Argentino,789,19:39:44,791,19:39:44,TRK-YI8R5NTIPW
4,1000000003,156,1507,511,Correo Argentino,792,17:35:36,796,17:35:36,TRK-UWNN6LXYNU
5,1000000004,616,4,4,PICKUP,455,02:46:36,456,02:46:36,
6,1000000005,614,2,2,PICKUP,437,20:54:35,438,20:54:35,
7,1000000006,188,2148,1152,Correo Argentino,928,22:55:56,932,22:55:56,TRK-UCA7R6D2X6
8,1000000007,17,3577,2581,Correo Argentino,682,20:15:00,685,20:15:00,TRK-EEAFDZHDID
9,1000000008,1148,1490,494,Correo Argentino,604,03:29:28,606,03:29:28,TRK-99ZZCRAXY6
10,1000000009,1037,1974,978,Correo Argentino,456,10:34:46,459,10:34:46,TRK-M4QI31HO4X
11,1000000010,1336,1,1,PICKUP,438,02:19:39,439,02:19:39,
12,1000000011,1239,4,4,PICKUP,899,03:46:29,900,03:46:29,
13,1000000012,1426,3,3,PICKUP,587,14:38:29,588,14:38:29,
14,1000000013,862,1,1,PICKUP,813,11:26:14,814,11:26:14,
15,1000000014,181,3917,2921,Correo Argentino,962,12:46:12,967,12:46:12,TRK-TEL745CSF0
16,1000000015,700,1803,807,Correo Argentino,,,,,
17,1000000016,475,3558,2562,Correo Argentino,971,22:46:32,976,22:46:32,TRK-2QJED48Q5H
18,1000000017,753,2,2,PICKUP,781,14:36:04,782,14:36:04,
19,1000000018,1151,2691,1695,Correo Argentino,,,,,
20,1000000019,793,3612,2616,Correo Argentino,843,04:12:18,847,04:12:18,TRK-LU2ZLGLEOH
21,1000000020,866,3374,2378,Correo Argentino,493,01:36:24,497,01:36:24,TRK-UD7KW642LM
22,1000000021,1110,2545,1549,Correo Argentino,998,22:05:51,1000,22:05:51,TRK-4588YSVCZA
23,1000000022,854,1,1,PICKUP,456,02:16:34,457,02:16:34,
24,1000000023,379,3,3,PICKUP,917,19:42:57,918,19:42:57,
25,1000000024,441,2,2,PICKUP,792,15:57:05,793,15:57:05,
26,1000000025,125,1512,516,Correo Argentino,970,06:57:45,974,06:57:45,TRK-YJMLEQMJ1S
27,1000000026,1201,1297,301,Correo Argentino,713,23:59:48,716,23:59:48,TRK-IWZB9131BN
28,1000000027,1055,2858,1862,Correo Argentino,703,01:44:59,706,01:44:59,TRK-F7ZF8SQ633
29,1000000028,382,2419,1423,Correo Argentino,504,06:11:07,508,06:11:07,TRK-NW8EX6WAQP
30,1000000029,1456,2421,1425,Correo Argentino,989,02:43:49,994,02:43:49,TRK-SNH0E9H2BV
31,1000000030,1377,4,4,PICKUP,891,19:02:55,892,19:02:55,
32,1000000031,1375,4,4,PICKUP,861,11:15:07,862,11:15:07,
33,1000000032,821,1920,924,Correo Argentino,806,14:37:22,808,14:37:22,TRK-AF3QHYH0G0
34,1000000033,1475,4,4,PICKUP,525,03:23:04,526,03:23:04,
35,1000000034,634,2,2,PICKUP,687,01:24:31,688,01:24:31,
36,1000000035,585,1,1,PICKUP,377,05:54:27,378,05:54:27,
37,1000000036,180,2859,1863,Correo Argentino,634,18:59:17,637,18:59:17,TRK-JI1IJOL9GD
38,1000000037,482,3321,2325,Correo Argentino,392,00:07:55,396,00:07:55,TRK-B103OLM2ZZ
39,1000000038,620,1,1,PICKUP,398,22:29:21,399,22:29:21,
40,1000000039,603,1,1,PICKUP,509,04:42:33,510,04:42:33,
41,1000000040,1028,2145,1149,Correo Argentino,,,,,
42,1000000041,1005,3,3,PICKUP,379,09:59:03,380,09:59:03,
43,1000000042,790,1029,33,Correo Argentino,637,21:17:36,639,21:17:36,TRK-T6YEYXIY47
44,1000000043,665,3039,2043,Correo Argentino,508,10:46:11,513,10:46:11,TRK-4BKBFC142A
45,1000000044,562,2131,1135,Correo Argentino,977,12:32:15,979,12:32:15,TRK-OE8JOVHWT3
46,1000000045,998,2980,1984,Correo Argentino,398,13:14:28,403,13:14:28,TRK-78RSWE9YNS
47,1000000046,276,1489,493,Correo Argentino,378,03:01:18,382,03:01:18,TRK-ENFRRYBCN7
48,1000000047,1469,2,2,PICKUP,433,08:53:37,434,08:53:37,
49,1000000048,408,2,2,PICKUP,622,16:10:57,623,16:10:57,
50,1000000049,1360,2,2,PICKUP,589,19:35:54,590,19:35:54,
51,1000000050,1423,1661,665,Correo Argentino,573,00:25:00,577,00:25:00,TRK-2UFL9MQ11P
52,1000000051,741,2863,1867,Correo Argentino,625,06:10:33,628,06:10:33,TRK-TL9JNTSSQA
53,1000000052,969,2608,1612,Correo Argentino,675,03:12:44,677,03:12:44,TRK-RK6C2JA3AN
54,1000000053,729,1454,458,Correo Argentino,,,,,
55,1000000054,251,4,4,PICKUP,441,02:19:59,442,02:19:59,
56,1000000055,1087,1,1,PICKUP,935,20:26:45,936,20:26:45,
57,1000000056,659,2887,1891,Correo Argentino,834,15:37:15,837,15:37:15,TRK-F94E82XEU7
58,1000000057,338,4,4,PICKUP,783,05:51:12,784,05:51:12,
59,1000000058,1068,3071,2075,Correo Argentino,,,,,
60,1000000059,958,3535,2539,Correo Argentino,549,13:26:37,554,13:26:37,TRK-GYMRRQSRNH
61,1000000060,428,4,4,PICKUP,,,,,
62,1000000061,1337,1084,88,Correo Argentino,792,10:20:56,795,10:20:56,TRK-1JVAA08D71
63,1000000062,1442,3,3,PICKUP,723,12:02:28,724,12:02:28,
64,1000000063,939,1406,410,Correo Argentino,517,10:17:58,519,10:17:58,TRK-4QRWG4O3VS
65,1000000064,1409,1307,311,Correo Argentino,795,14:45:27,797,14:45:27,TRK-GHR4X51MO5
66,1000000065,1062,2399,1403,Correo Argentino,627,00:43:41,631,00:43:41,TRK-Y0WLIWLAP3
67,1000000066,988,1134,138,Correo Argentino,,,,,
68,1000000067,778,2248,1252,Correo Argentino,833,16:23:15,838,16:23:15,TRK-WPHKOKPY98
69,1000000068,77,1620,624,Correo Argentino,702,10:53:38,705,10:53:38,TRK-95ADJ6QXJ8
70,1000000069,700,1476,480,Correo Argentino,530,09:38:45,535,09:38:45,TRK-75UERJVV88
71,1000000070,425,1428,432,Correo Argentino,938,23:51:05,942,23:51:05,TRK-SHAJ4MH7LK
72,1000000071,1271,3,3,PICKUP,569,18:00:06,570,18:00:06,
73,1000000072,1129,3536,2540,Correo Argentino,399,08:20:17,404,08:20:17,TRK-NH83FI4OJA
74,1000000073,1224,2119,1123,Correo Argentino,708,21:18:19,711,21:18:19,TRK-3BTEYU6C8K
75,1000000074,446,3064,2068,Correo Argentino,715,04:41:02,721,04:41:02,TRK-NQPTS0MMBB
76,1000000075,867,3681,2685,Correo Argentino,813,18:16:20,817,18:16:20,TRK-A7O7MMZ1H4
77,1000000076,127,4185,3189,Correo Argentino,427,10:21:11,429,10:21:11,TRK-Z56VK3U0QJ
78,1000000077,874,1,1,PICKUP,704,22:39:17,705,22:39:17,
79,1000000078,814,3363,2367,Correo Argentino,741,21:43:22,744,21:43:22,TRK-N8XZ4OSU2M
80,1000000079,1189,1836,840,Correo Argentino,991,02:56:19,995,02:56:19,TRK-XADN2TVDNH
81,1000000080,584,1065,69,Correo Argentino,682,06:28:22,687,06:28:22,TRK-S1OQO0J4EA
82,1000000081,1433,1949,953,Correo Argentino,765,01:45:35,768,01:45:35,TRK-LSXL8NV9UZ
83,1000000082,670,4099,3103,Correo Argentino,996,10:27:35,999,10:27:35,TRK-4U2I1W5ENR
84,1000000083,464,1838,842,Correo Argentino,407,17:47:09,411,17:47:09,TRK-3QNYBMC06W
85,1000000084,535,1149,153,Correo Argentino,696,14:26:24,699,14:26:24,TRK-LWD8M7AMND
86,1000000085,655,3181,2185,Correo Argentino,792,02:58:24,794,02:58:24,TRK-0RBFVTM6X4
87,1000000086,833,3247,2251,Correo Argentino,962,10:52:28,964,10:52:28,TRK-A169DTQM73
88,1000000087,490,2445,1449,Correo Argentino,,,,,
89,1000000088,360,2456,1460,Correo Argentino,400,13:58:21,405,13:58:21,TRK-TBUL818CS4
